case_name,seed,method_name,utility_type,w,a,k0,revenue,offline_revenue,revenue_ratio,runtime_sec,accept_rate,accepted_count,n,m,inventory_total,inventory_used_total,inventory_utilization,resource_used,resource_left,update_points
case_scarce,420,Approach2.1,exp,10.0,0.05,100,14517.747458025042,17804.001151804638,0.8154204964513555,0.023452043533325195,0.26545454545454544,2628,10000,10,8500.0,6937.0,0.8161176470588235,"[500.0, 500.0, 291.0, 781.0, 815.0, 712.0, 886.0, 748.0, 704.0, 1000.0]","[0.0, 0.0, 209.0, 219.0, 185.0, 288.0, 114.0, 252.0, 296.0, 0.0]",
case_scarce,420,Approach2.1,exp,10.0,0.1,100,14526.05571086821,17804.001151804638,0.8158871473334987,0.023621082305908203,0.26545454545454544,2628,10000,10,8500.0,6941.0,0.8165882352941176,"[500.0, 500.0, 292.0, 782.0, 814.0, 713.0, 887.0, 749.0, 704.0, 1000.0]","[0.0, 0.0, 208.0, 218.0, 186.0, 287.0, 113.0, 251.0, 296.0, 0.0]",
case_scarce,420,Approach2.2,log,1.0,,50,17378.87810133412,17804.001151804638,0.976122049934409,0.4757356643676758,0.30693467336683417,3054,10000,10,8500.0,8294.0,0.975764705882353,"[500.0, 499.0, 486.0, 979.0, 953.0, 959.0, 965.0, 953.0, 1000.0, 1000.0]","[0.0, 1.0, 14.0, 21.0, 47.0, 41.0, 35.0, 47.0, 0.0, 0.0]","[50, 100, 200, 400, 800, 1600, 3200, 6400]"
case_scarce,420,Approach2.2,log,5.0,,50,17230.966401522328,17804.001151804638,0.9678142713316874,0.5430958271026611,0.3041206030150754,3026,10000,10,8500.0,8203.0,0.9650588235294117,"[500.0, 473.0, 466.0, 966.0, 941.0, 948.0, 958.0, 951.0, 1000.0, 1000.0]","[0.0, 27.0, 34.0, 34.0, 59.0, 52.0, 42.0, 49.0, 0.0, 0.0]","[50, 100, 200, 400, 800, 1600, 3200, 6400]"
case_scarce,420,Approach2.2,log,10.0,,50,16972.18762319244,17804.001151804638,0.9532794049202876,0.5795431137084961,0.3003015075376884,2988,10000,10,8500.0,8061.0,0.9483529411764706,"[478.0, 458.0, 451.0, 956.0, 921.0, 934.0, 941.0, 933.0, 1000.0, 989.0]","[22.0, 42.0, 49.0, 44.0, 79.0, 66.0, 59.0, 67.0, 0.0, 11.0]","[50, 100, 200, 400, 800, 1600, 3200, 6400]"
case_scarce,420,Approach2.2,log,20.0,,50,16456.84967053608,17804.001151804638,0.924334340928078,0.47524285316467285,0.29055276381909545,2891,10000,10,8500.0,7786.0,0.916,"[447.0, 425.0, 425.0, 926.0, 883.0, 900.0, 917.0, 915.0, 980.0, 968.0]","[53.0, 75.0, 75.0, 74.0, 117.0, 100.0, 83.0, 85.0, 20.0, 32.0]","[50, 100, 200, 400, 800, 1600, 3200, 6400]"
case_scarce,420,Approach2.2,exp,1.0,0.01,50,17353.43284522991,17804.001151804638,0.9746928624227224,0.4982151985168457,0.30683417085427134,3053,10000,10,8500.0,8283.0,0.9744705882352941,"[500.0, 500.0, 488.0, 977.0, 953.0, 953.0, 964.0, 948.0, 1000.0, 1000.0]","[0.0, 0.0, 12.0, 23.0, 47.0, 47.0, 36.0, 52.0, 0.0, 0.0]","[50, 100, 200, 400, 800, 1600, 3200, 6400]"
case_scarce,420,Approach2.2,exp,1.0,0.05,50,17353.43284522991,17804.001151804638,0.9746928624227224,0.47578001022338867,0.30683417085427134,3053,10000,10,8500.0,8283.0,0.9744705882352941,"[500.0, 500.0, 488.0, 977.0, 953.0, 953.0, 964.0, 948.0, 1000.0, 1000.0]","[0.0, 0.0, 12.0, 23.0, 47.0, 47.0, 36.0, 52.0, 0.0, 0.0]","[50, 100, 200, 400, 800, 1600, 3200, 6400]"
case_scarce,420,Approach2.2,exp,1.0,0.1,50,17358.823368750807,17804.001151804638,0.9749956327649021,0.4997291564941406,0.30693467336683417,3054,10000,10,8500.0,8286.0,0.9748235294117648,"[500.0, 500.0, 488.0, 978.0, 954.0, 954.0, 964.0, 948.0, 1000.0, 1000.0]","[0.0, 0.0, 12.0, 22.0, 46.0, 46.0, 36.0, 52.0, 0.0, 0.0]","[50, 100, 200, 400, 800, 1600, 3200, 6400]"
case_scarce,420,Approach2.2,exp,5.0,0.01,50,17350.79860703824,17804.001151804638,0.9745449047715625,0.4886937141418457,0.30663316582914574,3051,10000,10,8500.0,8281.0,0.9742352941176471,"[500.0, 500.0, 486.0, 976.0, 952.0, 954.0, 965.0, 948.0, 1000.0, 1000.0]","[0.0, 0.0, 14.0, 24.0, 48.0, 46.0, 35.0, 52.0, 0.0, 0.0]","[50, 100, 200, 400, 800, 1600, 3200, 6400]"
case_scarce,420,Approach2.2,exp,5.0,0.05,50,17352.537188372262,17804.001151804638,0.9746425559298161,0.48728013038635254,0.30663316582914574,3051,10000,10,8500.0,8282.0,0.9743529411764705,"[500.0, 500.0, 487.0, 977.0, 951.0, 953.0, 965.0, 949.0, 1000.0, 1000.0]","[0.0, 0.0, 13.0, 23.0, 49.0, 47.0, 35.0, 51.0, 0.0, 0.0]","[50, 100, 200, 400, 800, 1600, 3200, 6400]"
case_scarce,420,Approach2.2,exp,5.0,0.1,50,17355.65047727483,17804.001151804638,0.9748174204940241,0.46100401878356934,0.30683417085427134,3053,10000,10,8500.0,8284.0,0.9745882352941176,"[500.0, 500.0, 488.0, 977.0, 953.0, 953.0, 965.0, 948.0, 1000.0, 1000.0]","[0.0, 0.0, 12.0, 23.0, 47.0, 47.0, 35.0, 52.0, 0.0, 0.0]","[50, 100, 200, 400, 800, 1600, 3200, 6400]"
case_scarce,420,Approach2.2,exp,10.0,0.01,50,17348.34643734527,17804.001151804638,0.9744071733890456,0.45459985733032227,0.3065326633165829,3050,10000,10,8500.0,8280.0,0.9741176470588235,"[500.0, 500.0, 487.0, 976.0, 951.0, 953.0, 964.0, 949.0, 1000.0, 1000.0]","[0.0, 0.0, 13.0, 24.0, 49.0, 47.0, 36.0, 51.0, 0.0, 0.0]","[50, 100, 200, 400, 800, 1600, 3200, 6400]"
case_scarce,420,Approach2.2,exp,10.0,0.05,50,17356.749083386203,17804.001151804638,0.9748791260680693,0.5975518226623535,0.30683417085427134,3053,10000,10,8500.0,8284.0,0.9745882352941176,"[500.0, 499.0, 487.0, 977.0, 953.0, 954.0, 965.0, 949.0, 1000.0, 1000.0]","[0.0, 1.0, 13.0, 23.0, 47.0, 46.0, 35.0, 51.0, 0.0, 0.0]","[50, 100, 200, 400, 800, 1600, 3200, 6400]"
case_scarce,420,Approach2.2,exp,10.0,0.1,50,17355.031478164692,17804.001151804638,0.9747826530782696,0.4831118583679199,0.30673366834170857,3052,10000,10,8500.0,8283.0,0.9744705882352941,"[500.0, 500.0, 487.0, 976.0, 952.0, 953.0, 966.0, 949.0, 1000.0, 1000.0]","[0.0, 0.0, 13.0, 24.0, 48.0, 47.0, 34.0, 51.0, 0.0, 0.0]","[50, 100, 200, 400, 800, 1600, 3200, 6400]"
case_high_noise,420,Approach2.1,log,1.0,,100,17154.06910845268,20807.23502803104,0.8244280936579562,0.03241395950317383,0.3057575757575758,3027,10000,10,10000.0,8392.0,0.8392,"[984.0, 1000.0, 654.0, 748.0, 785.0, 809.0, 1000.0, 839.0, 573.0, 1000.0]","[16.0, 0.0, 346.0, 252.0, 215.0, 191.0, 0.0, 161.0, 427.0, 0.0]",
case_high_noise,420,Approach2.1,log,5.0,,100,15745.558871782603,20807.23502803104,0.7567348016481066,0.03362727165222168,0.2809090909090909,2781,10000,10,10000.0,7426.0,0.7426,"[749.0, 1000.0, 537.0, 520.0, 542.0, 680.0, 959.0, 767.0, 672.0, 1000.0]","[251.0, 0.0, 463.0, 480.0, 458.0, 320.0, 41.0, 233.0, 328.0, 0.0]",
case_high_noise,420,Approach2.1,log,10.0,,100,11998.478936640598,20807.23502803104,0.5766493683796294,0.025192975997924805,0.21818181818181817,2160,10000,10,10000.0,5312.0,0.5312,"[314.0, 554.0, 367.0, 348.0, 486.0, 579.0, 745.0, 556.0, 445.0, 918.0]","[686.0, 446.0, 633.0, 652.0, 514.0, 421.0, 255.0, 444.0, 555.0, 82.0]",
case_high_noise,420,Approach2.1,log,20.0,,100,4169.389772412053,20807.23502803104,0.20038173100823561,0.03290915489196777,0.08767676767676767,868,10000,10,10000.0,1597.0,0.1597,"[14.0, 32.0, 54.0, 119.0, 111.0, 134.0, 250.0, 232.0, 244.0, 407.0]","[986.0, 968.0, 946.0, 881.0, 889.0, 866.0, 750.0, 768.0, 756.0, 593.0]",
case_high_noise,420,Approach2.1,exp,1.0,0.01,100,16502.600662271117,20807.23502803104,0.7931183859863737,0.07463502883911133,0.29404040404040405,2911,10000,10,10000.0,8247.0,0.8247,"[1000.0, 1000.0, 795.0, 749.0, 667.0, 726.0, 1000.0, 864.0, 446.0, 1000.0]","[0.0, 0.0, 205.0, 251.0, 333.0, 274.0, 0.0, 136.0, 554.0, 0.0]",
case_high_noise,420,Approach2.1,exp,1.0,0.05,100,16502.600662271117,20807.23502803104,0.7931183859863737,0.024869203567504883,0.29404040404040405,2911,10000,10,10000.0,8247.0,0.8247,"[1000.0, 1000.0, 795.0, 749.0, 667.0, 726.0, 1000.0, 864.0, 446.0, 1000.0]","[0.0, 0.0, 205.0, 251.0, 333.0, 274.0, 0.0, 136.0, 554.0, 0.0]",
